Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
182.000000	0.001579	1.573000	91.560000	92.091000	1.747000	76.271000	78.244000	
183.000000	0.001575	1.569000	92.263000	92.758000	1.645000	83.293000	85.496000	
184.000000	0.001571	1.569000	92.083000	92.723000	1.660000	81.951000	83.518000	
185.000000	0.001566	1.573000	91.725000	92.363000	1.630000	84.578000	85.635000	
186.000000	0.001562	1.564000	92.152000	92.925000	1.703000	78.491000	81.090000	
187.000000	0.001558	1.568000	92.314000	92.863000	1.674000	80.198000	82.859000	
188.000000	0.001554	1.568000	92.201000	92.872000	1.683000	80.262000	82.477000	
189.000000	0.001549	1.566000	92.099000	92.626000	1.696000	80.057000	81.679000	
190.000000	0.001545	1.567000	91.863000	92.530000	1.666000	82.232000	83.900000	
191.000000	0.001540	1.567000	92.166000	92.855000	1.678000	79.548000	81.853000	
192.000000	0.001536	1.568000	91.925000	92.583000	1.649000	81.999000	84.316000	
193.000000	0.001532	1.566000	92.234000	92.863000	1.651000	82.240000	84.282000	
194.000000	0.001527	1.565000	92.471000	93.021000	1.705000	78.695000	80.812000	
195.000000	0.001523	1.562000	92.553000	93.092000	1.639000	84.144000	85.357000	
196.000000	0.001518	1.561000	92.233000	93.127000	1.649000	82.471000	84.802000	
197.000000	0.001514	1.564000	92.529000	93.021000	1.652000	81.694000	84.386000	
198.000000	0.001509	1.563000	92.226000	93.004000	1.655000	82.575000	83.969000	
199.000000	0.001505	1.560000	92.778000	93.136000	1.690000	78.253000	81.506000	
200.000000	0.001501	1.562000	92.643000	93.188000	1.662000	81.201000	83.414000	
201.000000	0.001496	1.567000	92.079000	92.749000	1.643000	82.633000	85.149000	
202.000000	0.001491	1.562000	92.106000	92.828000	1.646000	84.172000	85.913000	
203.000000	0.001487	1.564000	92.217000	92.925000	1.640000	83.405000	85.219000	
204.000000	0.001482	1.560000	92.663000	93.223000	1.633000	83.821000	85.600000	
205.000000	0.001478	1.558000	92.732000	93.223000	1.666000	81.790000	83.692000	
206.000000	0.001473	1.558000	92.702000	93.469000	1.644000	82.527000	84.629000	
207.000000	0.001469	1.563000	92.671000	93.179000	1.640000	83.446000	85.427000	
208.000000	0.001464	1.557000	92.942000	93.478000	1.657000	81.629000	84.074000	
209.000000	0.001459	1.560000	92.789000	93.258000	1.680000	79.573000	83.310000	
210.000000	0.001455	1.562000	92.659000	93.118000	1.675000	80.467000	83.067000	
211.000000	0.001450	1.558000	92.804000	93.329000	1.661000	81.816000	83.588000	
212.000000	0.001446	1.555000	92.854000	93.408000	1.651000	83.501000	84.768000	
213.000000	0.001441	1.556000	93.023000	93.574000	1.681000	79.529000	81.749000	
214.000000	0.001436	1.561000	92.331000	93.004000	1.644000	84.374000	85.531000	
215.000000	0.001432	1.554000	93.006000	93.522000	1.683000	80.355000	82.512000	
216.000000	0.001427	1.550000	93.456000	93.978000	1.654000	82.958000	84.594000	
217.000000	0.001422	1.552000	92.958000	93.592000	1.661000	82.166000	84.316000	
218.000000	0.001417	1.550000	93.176000	93.768000	1.697000	80.011000	82.165000	
219.000000	0.001413	1.557000	93.107000	93.302000	1.630000	84.521000	86.121000	
220.000000	0.001408	1.556000	92.887000	93.495000	1.669000	82.279000	83.796000	
221.000000	0.001403	1.554000	92.972000	93.592000	1.640000	84.268000	85.496000	
222.000000	0.001398	1.559000	92.810000	93.329000	1.672000	81.275000	83.067000	
223.000000	0.001394	1.552000	93.112000	93.627000	1.660000	81.866000	83.761000	
224.000000	0.001389	1.550000	93.489000	93.768000	1.649000	82.711000	84.421000	
225.000000	0.001384	1.548000	93.435000	93.926000	1.648000	82.556000	84.594000	
226.000000	0.001379	1.548000	93.580000	93.917000	1.686000	79.677000	81.992000	
227.000000	0.001374	1.555000	92.947000	93.504000	1.700000	79.801000	81.679000	
228.000000	0.001370	1.552000	93.180000	93.601000	1.665000	81.571000	83.588000	
229.000000	0.001365	1.552000	92.847000	93.408000	1.662000	82.072000	83.969000	
230.000000	0.001360	1.549000	93.330000	93.776000	1.685000	80.203000	82.651000	
231.000000	0.001355	1.544000	93.666000	94.119000	1.658000	81.891000	84.247000	
232.000000	0.001350	1.552000	92.830000	93.460000	1.645000	83.603000	85.392000	
233.000000	0.001345	1.546000	93.856000	94.189000	1.646000	82.677000	84.837000	
234.000000	0.001340	1.555000	92.899000	93.452000	1.652000	82.819000	84.178000	
235.000000	0.001336	1.547000	93.289000	93.899000	1.656000	81.250000	83.657000	
236.000000	0.001331	1.549000	93.323000	94.040000	1.658000	80.666000	84.074000	
237.000000	0.001326	1.549000	93.520000	93.882000	1.679000	80.794000	82.824000	
238.000000	0.001321	1.547000	93.665000	93.996000	1.685000	80.688000	82.824000	
239.000000	0.001316	1.548000	93.483000	93.969000	1.636000	83.957000	85.496000	
240.000000	0.001311	1.545000	93.563000	93.969000	1.648000	84.376000	85.357000	
241.000000	0.001306	1.541000	93.941000	94.540000	1.652000	83.011000	84.698000	
242.000000	0.001301	1.543000	93.823000	94.347000	1.657000	80.196000	83.969000	
243.000000	0.001296	1.547000	93.285000	93.926000	1.657000	83.188000	84.663000	
244.000000	0.001291	1.546000	93.883000	94.242000	1.657000	82.595000	84.490000	
245.000000	0.001286	1.542000	94.103000	94.417000	1.655000	83.171000	84.525000	
246.000000	0.001281	1.542000	93.714000	94.206000	1.686000	81.165000	82.929000	
247.000000	0.001276	1.543000	93.725000	94.224000	1.672000	82.516000	83.449000	
248.000000	0.001271	1.540000	94.391000	94.689000	1.652000	82.591000	84.421000	
249.000000	0.001266	1.543000	93.923000	94.329000	1.654000	82.763000	84.247000	
250.000000	0.001261	1.544000	93.664000	94.268000	1.632000	84.130000	85.323000	
251.000000	0.001256	1.539000	94.034000	94.575000	1.644000	83.735000	85.288000	
252.000000	0.001251	1.541000	93.936000	94.391000	1.654000	82.795000	84.178000	
253.000000	0.001246	1.545000	93.644000	94.040000	1.641000	83.539000	85.115000	
254.000000	0.001241	1.542000	94.116000	94.452000	1.695000	78.633000	81.159000	
255.000000	0.001236	1.541000	93.932000	94.417000	1.635000	83.105000	85.288000	
256.000000	0.001231	1.541000	94.113000	94.531000	1.641000	84.220000	85.392000	
257.000000	0.001226	1.543000	93.863000	94.189000	1.658000	83.549000	84.594000	
258.000000	0.001221	1.539000	94.177000	94.505000	1.652000	81.958000	84.074000	
259.000000	0.001216	1.540000	93.988000	94.549000	1.636000	82.484000	85.149000	
260.000000	0.001211	1.533000	94.387000	94.953000	1.640000	83.566000	85.496000	
261.000000	0.001206	1.537000	94.402000	94.724000	1.667000	81.523000	83.657000	
262.000000	0.001201	1.544000	93.628000	94.233000	1.652000	82.697000	84.733000	
263.000000	0.001196	1.539000	93.954000	94.452000	1.675000	82.206000	83.657000	
264.000000	0.001190	1.537000	94.309000	94.601000	1.637000	82.874000	85.566000	
265.000000	0.001185	1.541000	93.638000	94.303000	1.642000	82.564000	85.010000	
266.000000	0.001180	1.533000	94.592000	94.865000	1.648000	82.347000	84.525000	
267.000000	0.001175	1.527000	95.094000	95.365000	1.670000	80.773000	83.553000	
268.000000	0.001170	1.536000	94.601000	94.786000	1.671000	81.656000	82.755000	
269.000000	0.001165	1.536000	94.036000	94.601000	1.633000	84.029000	85.288000	
270.000000	0.001160	1.534000	94.480000	94.917000	1.635000	84.782000	85.635000	
271.000000	0.001155	1.536000	93.976000	94.496000	1.640000	83.582000	85.392000	
272.000000	0.001149	1.536000	94.548000	94.979000	1.640000	83.772000	85.080000	
273.000000	0.001144	1.533000	94.651000	94.865000	1.651000	83.045000	85.010000	
274.000000	0.001139	1.535000	94.392000	94.733000	1.641000	83.826000	85.010000	
275.000000	0.001134	1.536000	94.329000	94.724000	1.677000	80.628000	82.963000	
276.000000	0.001129	1.527000	94.817000	95.198000	1.629000	84.505000	85.843000	
277.000000	0.001124	1.530000	94.596000	95.040000	1.650000	82.905000	84.629000	
278.000000	0.001119	1.532000	94.391000	94.926000	1.664000	81.806000	83.622000	
279.000000	0.001113	1.533000	94.364000	94.847000	1.646000	82.946000	84.525000	
280.000000	0.001108	1.536000	93.920000	94.461000	1.663000	83.589000	84.282000	
281.000000	0.001103	1.531000	94.665000	94.988000	1.659000	81.464000	83.727000	
282.000000	0.001098	1.528000	94.658000	95.260000	1.633000	83.222000	85.808000	
283.000000	0.001093	1.527000	94.591000	94.979000	1.631000	83.728000	85.670000	
284.000000	0.001088	1.529000	94.827000	94.953000	1.648000	82.773000	85.010000	
285.000000	0.001083	1.530000	94.550000	94.961000	1.666000	81.737000	83.657000	
286.000000	0.001077	1.529000	94.653000	95.146000	1.653000	81.426000	84.004000	
287.000000	0.001072	1.528000	94.998000	95.409000	1.670000	81.732000	82.790000	
288.000000	0.001067	1.532000	94.426000	94.759000	1.632000	84.444000	85.496000	
289.000000	0.001062	1.525000	95.023000	95.435000	1.667000	80.763000	83.553000	
290.000000	0.001057	1.529000	94.504000	94.891000	1.642000	82.423000	84.421000	
291.000000	0.001051	1.520000	94.984000	95.532000	1.649000	82.081000	84.282000	
292.000000	0.001046	1.525000	95.193000	95.514000	1.671000	80.807000	83.692000	
293.000000	0.001041	1.526000	94.703000	95.067000	1.635000	83.562000	85.392000	
294.000000	0.001036	1.527000	94.683000	95.075000	1.645000	81.960000	84.351000	
295.000000	0.001031	1.524000	95.057000	95.514000	1.644000	84.064000	84.941000	
296.000000	0.001026	1.525000	94.936000	95.356000	1.671000	82.221000	83.484000	
297.000000	0.001020	1.520000	95.330000	95.699000	1.636000	84.364000	86.086000	
298.000000	0.001015	1.524000	95.136000	95.479000	1.626000	84.342000	86.155000	
299.000000	0.001010	1.521000	95.653000	95.787000	1.641000	83.683000	85.600000	
300.000000	0.001005	1.530000	94.510000	94.830000	1.667000	79.915000	82.686000	
301.000000	0.001000	1.520000	95.503000	95.874000	1.647000	83.039000	84.837000	
302.000000	0.000994	1.522000	94.965000	95.453000	1.611000	85.891000	87.231000	
303.000000	0.000989	1.521000	95.294000	95.576000	1.652000	82.531000	84.906000	
304.000000	0.000984	1.520000	95.022000	95.514000	1.629000	84.664000	86.155000	
305.000000	0.000979	1.521000	95.143000	95.497000	1.631000	84.785000	86.121000	
